pdf_key;name;current_lat;current_lon;google_search_url;google_maps_url_or_coords;notes
PDF_041;Prince Jayakarta Tomb;-6.185756;106.829183;https://www.google.com/maps/search/?api=1&query=Prince%20Jayakarta%20Tomb%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_042;Vihara Amurva Bhumi Jatinegara;-6.215093;106.863733;https://www.google.com/maps/search/?api=1&query=Vihara%20Amurva%20Bhumi%20Jatinegara%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_043;Jakarta Cathedral;-6.169253;106.833119;https://www.google.com/maps/search/?api=1&query=Jakarta%20Cathedral%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_044;Sin Tek Bio Temple;-6.137222;106.814444;https://www.google.com/maps/search/?api=1&query=Sin%20Tek%20Bio%20Temple%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_045;Pecenongan Culinary District;-6.1775;106.834722;https://www.google.com/maps/search/?api=1&query=Pecenongan%20Culinary%20District%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_046;Pniel Jakarta GPIB Church;-6.16094;106.834302;https://www.google.com/maps/search/?api=1&query=Pniel%20Jakarta%20GPIB%20Church%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_047;Ragusa Italian Ice Cream;-6.169782;106.829845;https://www.google.com/maps/search/?api=1&query=Ragusa%20Italian%20Ice%20Cream%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_048;Gedung Kesenian Jakarta;-6.16654;106.834417;https://www.google.com/maps/search/?api=1&query=Gedung%20Kesenian%20Jakarta%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_049;Graha Bakti Antara Museum;-6.165734;106.834212;https://www.google.com/maps/search/?api=1&query=Graha%20Bakti%20Antara%20Museum%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_050;Lapangan Banteng Park;-6.170271;106.834825;https://www.google.com/maps/search/?api=1&query=Lapangan%20Banteng%20Park%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_051;Istiqlal Mosque;-6.169803;106.830922;https://www.google.com/maps/search/?api=1&query=Istiqlal%20Mosque%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_052;Taman Ismail Marzuki;-6.189053;106.840019;https://www.google.com/maps/search/?api=1&query=Taman%20Ismail%20Marzuki%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_053;Bakoel Koffie;-6.18791;106.836907;https://www.google.com/maps/search/?api=1&query=Bakoel%20Koffie%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_054;Metropole XXI;-6.200058;106.843746;https://www.google.com/maps/search/?api=1&query=Metropole%20XXI%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_055;Tugu Kunstkring Paleis;-6.188898;106.833497;https://www.google.com/maps/search/?api=1&query=Tugu%20Kunstkring%20Paleis%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_056;Jami Al Makmur Mosque;-6.19113;106.842737;https://www.google.com/maps/search/?api=1&query=Jami%20Al%20Makmur%20Mosque%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_057;Surabaya Street Antique Shops;-6.199974;106.840367;https://www.google.com/maps/search/?api=1&query=Surabaya%20Street%20Antique%20Shops%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_058;Proclamation Park;-6.185972;106.822583;https://www.google.com/maps/search/?api=1&query=Proclamation%20Park%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_059;Proclamation Text Making Museum;-6.200436;106.831084;https://www.google.com/maps/search/?api=1&query=Proclamation%20Text%20Making%20Museum%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_060;Merdeka Palace;-6.17028;106.82417;https://www.google.com/maps/search/?api=1&query=Merdeka%20Palace%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_061;National Monument (Monas);-6.175389;106.827139;https://www.google.com/maps/search/?api=1&query=National%20Monument%20%28Monas%29%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_062;Tanah Abang Market;-6.186184;106.813842;https://www.google.com/maps/search/?api=1&query=Tanah%20Abang%20Market%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_063;Prasasti Park Museum;-6.172371;106.819543;https://www.google.com/maps/search/?api=1&query=Prasasti%20Park%20Museum%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_064;Jakarta City Hall;-6.181405;106.828409;https://www.google.com/maps/search/?api=1&query=Jakarta%20City%20Hall%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_065;National Museum of Indonesia;-6.176158;106.821306;https://www.google.com/maps/search/?api=1&query=National%20Museum%20of%20Indonesia%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_066;National Library of Republic of Indonesia;-6.181761;106.826957;https://www.google.com/maps/search/?api=1&query=National%20Library%20of%20Republic%20of%20Indonesia%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_067;Textile Museum;-6.187937;106.809606;https://www.google.com/maps/search/?api=1&query=Textile%20Museum%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_068;National Gallery of Indonesia;-6.178529;106.833276;https://www.google.com/maps/search/?api=1&query=National%20Gallery%20of%20Indonesia%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_069;Gelora Bung Karno Main Stadium;-6.218612;106.802554;https://www.google.com/maps/search/?api=1&query=Gelora%20Bung%20Karno%20Main%20Stadium%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_070;Senayan National Golf Club;-6.222877;106.796508;https://www.google.com/maps/search/?api=1&query=Senayan%20National%20Golf%20Club%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
