osm_id,osm_type,name,category,subcategory,latitude,longitude,alamat,phone,website,opening_hours,cuisine,brand,is_minimarket_brand,tipe_fasilitas,name_lower
5124127199,node,Indomaret,shop,convenience,-6.1323716,106.8445201,,,,,,Indomaret,True,minimarket,indomaret
5124127200,node,Alfamart,shop,convenience,-6.1325116,106.8444403,,,,,,Alfamart,True,minimarket,alfamart
5128719870,node,Indomaret,shop,convenience,-6.1979883,106.8498127,,,,Mo-Su 06:00-22:00,,Indomaret,True,minimarket,indomaret
5130612600,node,Alfamart,shop,convenience,-6.1342931,106.8377213,,,,,,Alfamart,True,minimarket,alfamart
5130612603,node,Indomaret,shop,convenience,-6.1341837,106.8382604,,,,,,Indomaret,True,minimarket,indomaret
5137325952,node,Alfamart,shop,convenience,-6.1587888,106.8703973,,,,,,Alfamart,True,minimarket,alfamart
5141530545,node,Indomaret,shop,convenience,-6.12898,106.8518284,,,,,,Indomaret,True,minimarket,indomaret
5141530739,node,Alfamart,shop,convenience,-6.1404117,106.8544074,,,,,,Alfamart,True,minimarket,alfamart
5185310139,node,Indomaret,shop,convenience,-6.1547975,106.8176354,,,,,,Indomaret,True,minimarket,indomaret
5185654460,node,Indomaret,shop,convenience,-6.1572733,106.8187972,,,,,,Indomaret,True,minimarket,indomaret
5186002206,node,Indomaret,shop,convenience,-6.1346717,106.8121827,,,,,,Indomaret,True,minimarket,indomaret
5186008033,node,Circle K,shop,convenience,-6.1869187,106.8302289,,,,24/7,,Circle K,True,minimarket,circle k
5215370673,node,Alfa Express,shop,convenience,-6.1903302,106.7987929,,,,,,Alfa Express,False,minimarket,alfa express
5230437321,node,Lawson,shop,convenience,-6.1496825,106.8180384,,,,,,Lawson,True,minimarket,lawson
5308404767,node,Indomaret,shop,convenience,-6.1160881,106.9069686,,,,,,Indomaret,True,minimarket,indomaret
5311517027,node,Indomaret,shop,convenience,-6.1457844,106.7291529,"Jl Kamal Raya Outer Ring Road, Cengkareng Timur, West Jakarta, 11730",,,,,Indomaret,True,minimarket,indomaret
5311591222,node,Indomaret,shop,convenience,-6.1545291,106.7304057,"Jalan Daan Mogot, 11730",,,,,Indomaret,True,minimarket,indomaret
5311614425,node,Alfamart,shop,convenience,-6.1546971,106.7317309,Jalan Daan Mogot,,,,,Alfamart,True,minimarket,alfamart
5315749036,node,Indomaret,shop,convenience,-6.1638609,106.7242013,,,,,,Indomaret,True,minimarket,indomaret
5315753122,node,Indomaret,shop,convenience,-6.1560851,106.8016517,,,,,,Indomaret,True,minimarket,indomaret
5316737719,node,SOGO,shop,department_store,-6.1874189,106.7395471,,,,Mo-Su 10:00-22:00,,,False,minimarket,sogo
5316738124,node,Hero,shop,supermarket,-6.187933,106.7346307,,,,,,,True,minimarket,hero
5316738125,node,Sogo,shop,supermarket,-6.1884847,106.734183,,,,,,,False,minimarket,sogo
5332323621,node,Alfamart,shop,convenience,-6.1464092,106.7294147,"Jalan Fajar Baru Selatan, Cengkareng Timur, West Jakarta, 11730",,,,,Alfamart,True,minimarket,alfamart
5338176821,node,Agen Beras Indah Jaya,shop,convenience,-6.1499619,106.7296456,"Jalan Ambon No.38, Cengkareng Timur, West Jakarta",+62 813 8974 7087,,,,,False,minimarket,agen beras indah jaya
5350589721,node,Indomaret,shop,convenience,-6.221279,106.82679,,,,,,Indomaret,True,minimarket,indomaret
5380016111,node,Indomaret,shop,convenience,-6.1761406,106.789928,,,,,,Indomaret,True,minimarket,indomaret
5393321444,node,SOGO,shop,department_store,-6.1783663,106.7900955,,,,Mo-Su 10:00-22:00,,SOGO,False,minimarket,sogo
5407234844,node,Alfamart,shop,convenience,-6.1751202,106.7882689,,,,,,Alfamart,True,minimarket,alfamart
5428148522,node,Indomaret,shop,convenience,-6.2167639,106.7699777,,,,,,Indomaret,True,minimarket,indomaret
5428679522,node,Super Indo,shop,supermarket,-6.1743238,106.7654481,,,,,,,False,minimarket,super indo
5434594021,node,Indomaret,shop,convenience,-6.2075429,106.7941451,,,,,,Indomaret,True,minimarket,indomaret
5434594221,node,Alfamart,shop,convenience,-6.2019026,106.7982961,,+6281294663209,,,,Alfamart,True,minimarket,alfamart
5441478621,node,Alfamart,shop,convenience,-6.2163454,106.7706693,,,,,,Alfamart,True,minimarket,alfamart
5468091190,node,Alfamart,shop,convenience,-6.1782922,106.8313016,,,,,,Alfamart,True,minimarket,alfamart
5468091192,node,Indomaret,shop,convenience,-6.1783034,106.8312494,,,,,,Indomaret,True,minimarket,indomaret
5508320614,node,Indomaret,shop,convenience,-6.1927299,106.8057709,,,,24/7,,Indomaret,True,minimarket,indomaret
5519903422,node,Indomaret,shop,convenience,-6.1616627,106.8502572,,,,,,Indomaret,True,minimarket,indomaret
5519903423,node,Indomaret,shop,convenience,-6.1472613,106.836699,Jalan Industri Raya,,,Mo-Su 07:00-22:00,,Indomaret,True,minimarket,indomaret
5519903424,node,Duta Buah,shop,supermarket,-6.1482843,106.8297957,Jalan Mangga Besar,,,Mo-Su 08:00-21:00,,,False,minimarket,duta buah
5519906221,node,Alfamart,shop,convenience,-6.1470069,106.8362953,Jalan Industri Raya,,,Mo-Su 07:00-22:00,,Alfamart,True,minimarket,alfamart
5521458233,node,Indomaret,shop,convenience,-6.1699592,106.7895099,Jalan Taman S Parman,,,Mo-Su 07:00-22:00,,Indomaret,True,minimarket,indomaret
5521462021,node,Aneka Buana Pondok Labu,shop,supermarket,-6.3093848,106.7938927,"Jalan RS Fatmawati No.15, 12450",,,Mo-Su 08:00-21:30,,,False,minimarket,aneka buana pondok labu
5534934221,node,Indomaret,shop,convenience,-6.171513,106.7764229,"Jalan Green Ville No.27-28, 11510",+62 811-8895-483,https://indomaret.co.id/,,,Indomaret,True,minimarket,indomaret
